INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,C150_4,REGION,TUITIONFEE_IN,TUITIONFEE_OUT
Alabama A & M University,Normal,AL,35762,34.783368,-86.568502,0.2874,5,10024.0,18634.0
University of Alabama at Birmingham,Birmingham,AL,35294-0110,33.505697,-86.799345,0.626,5,8832.0,21864.0
Amridge University,Montgomery,AL,36117-3553,32.362609,-86.17401,0.4,5,,
University of Alabama in Huntsville,Huntsville,AL,35899,34.724557,-86.640449,0.6191,5,11770.0,24662.0
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,0.3018,5,11248.0,19576.0
The University of Alabama,Tuscaloosa,AL,35487-0100,33.211875,-87.545978,0.7369,5,11900.0,33200.0
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.36736,-86.177544,0.3568,5,9436.0,20092.0
Auburn University,Auburn,AL,36849,32.599378,-85.488258,0.7921,5,12536.0,33944.0
Birmingham-Southern College,Birmingham,AL,35254,33.513774,-86.850552,0.6418,5,22750.0,22750.0
South University-Montgomery,Montgomery,AL,36116,32.342684,-86.216488,0.1538,5,18238.0,18238.0
Faulkner University,Montgomery,AL,36109-3390,32.384181,-86.21641,0.3766,5,23920.0,23920.0
Herzing University-Birmingham,Birmingham,AL,35209,33.468466,-86.832465,0.25,5,13420.0,13420.0
Huntingdon College,Montgomery,AL,36106-2148,32.351034,-86.284366,0.4694,5,28650.0,28650.0
Heritage Christian University,Florence,AL,35630-9977,34.856153,-87.663051,0.5,5,11982.0,11982.0
Jacksonville State University,Jacksonville,AL,36265,33.822938,-85.765321,0.5112,5,12426.0,22716.0
University of West Alabama,Livingston,AL,35470,32.588132,-88.186329,0.3804,5,10990.0,20090.0
Miles College,Fairfield,AL,35064-2621,33.482442,-86.908751,0.2566,5,12714.0,12714.0
University of Mobile,Mobile,AL,36613-2842,30.793247,-88.128934,0.5551,5,26120.0,26120.0
University of Montevallo,Montevallo,AL,35115-6000,33.10625,-86.865099,0.4938,5,13710.0,26730.0
University of North Alabama,Florence,AL,35632-0001,34.80731,-87.680407,0.5403,5,11990.0,22190.0
Oakwood University,Huntsville,AL,35896,34.756344,-86.652705,0.4891,5,21838.0,21838.0
Samford University,Birmingham,AL,35229-2240,33.464128,-86.791799,0.7988,5,38144.0,38144.0
Selma University,Selma,AL,36701,32.420387,-87.032392,0.24,5,4800.0,4800.0
University of South Alabama,Mobile,AL,36688-0002,30.696033,-88.178711,0.5257,5,9676.0,18652.0
Spring Hill College,Mobile,AL,36608-1780,30.694751,-88.138199,0.5612,5,23270.0,23270.0
Stillman College,Tuscaloosa,AL,35401,33.200006,-87.585278,0.4103,5,11392.0,11392.0
Talladega College,Talladega,AL,35160,33.433472,-86.112704,0.6497,5,15650.0,15650.0
Troy University,Troy,AL,36082-0001,31.799583,-85.95802,0.4684,5,9792.0,19584.0
Tuskegee University,Tuskegee,AL,36088-1920,32.4309,-85.708492,0.5709,5,23440.0,23440.0
University of Alaska Anchorage,Anchorage,AK,99508,61.190163,-149.82619,0.2894,8,7566.0,21693.0
Alaska Bible College,Palmer,AK,99645,61.598553,-149.111972,1.0,8,10930.0,10930.0
University of Alaska Fairbanks,Fairbanks,AK,99775,64.85756,-147.823146,0.3197,8,8640.0,22752.0
University of Alaska Southeast,Juneau,AK,99801-8697,58.384846,-134.638255,0.3097,8,6960.0,21096.0
Alaska Pacific University,Anchorage,AK,99508,61.190968,-149.804168,0.4688,8,20760.0,20760.0
Charter College,Anchorage,AK,99508-4103,61.19633,-149.839274,0.5753,8,18678.0,18678.0
Brookline College-Phoenix,Phoenix,AZ,85021,33.566102,-112.112473,0.5023,6,,
Arizona State University Campus Immersion,Tempe,AZ,85287,33.417721,-111.934383,0.6785,6,12051.0,32193.0
University of Arizona,Tucson,AZ,85721-0066,32.232672,-110.950815,0.6589,6,13626.0,41095.0
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,34.616766,-112.449741,0.6976,6,42204.0,42204.0
Glendale Community College,Glendale,AZ,85302,33.570226,-112.190735,0.144,6,2358.0,8958.0
Grand Canyon University,Phoenix,AZ,85017,33.513231,-112.129929,0.4304,6,17450.0,17450.0
GateWay Community College,Phoenix,AZ,85034,33.449686,-111.997077,0.1955,6,2358.0,8958.0
Dine College,Tsaile,AZ,86556,36.293328,-109.21684,0.0549,6,1410.0,1410.0
Northern Arizona University,Flagstaff,AZ,86011-4092,35.188449,-111.653724,0.5686,6,12652.0,28900.0
Pima Medical Institute-Tucson,Tucson,AZ,85712,32.248067,-110.878783,0.7264,6,,
Prescott College,Prescott,AZ,86301,34.5452,-112.477185,0.3594,6,35685.0,35685.0
Rio Salado College,Tempe,AZ,85281,33.413309,-111.97417,0.039,6,2358.0,8958.0
Arizona Christian University,Glendale,AZ,85306-3216,33.622952,-112.181776,0.4145,6,34697.0,34697.0
Yavapai College,Prescott,AZ,86301,34.547495,-112.453395,0.3213,6,2838.0,9344.0
University of Arkansas at Little Rock,Little Rock,AR,72204,34.723254,-92.339778,0.4142,5,8455.0,19210.0
Arkansas Baptist College,Little Rock,AR,72202-6068,34.734751,-92.290555,0.0798,5,8760.0,8760.0
Lyon College,Batesville,AR,72501,35.777619,-91.625354,0.5591,5,31000.0,31000.0
University of Arkansas,Fayetteville,AR,72701,36.070009,-94.176981,0.6997,5,9748.0,28772.0
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,34.244031,-92.018683,0.3968,5,9019.0,17029.0
Arkansas State University,Jonesboro,AR,72401,35.842388,-90.679988,0.551,5,7754.0,13826.0
Arkansas Tech University,Russellville,AR,72801-2222,35.293237,-93.13562,0.4866,5,8508.0,14502.0
University of Arkansas at Monticello,Monticello,AR,71656,33.590909,-91.811153,0.4327,5,8868.0,14718.0
University of Central Arkansas,Conway,AR,72035-0001,35.077945,-92.457672,0.5335,5,10118.0,17258.0
Central Baptist College,Conway,AR,72034,35.083838,-92.445021,0.3529,5,19680.0,19680.0
Crowley's Ridge College,Paragould,AR,72450,36.064845,-90.584395,0.2609,5,16440.0,16440.0
Harding University,Searcy,AR,72149-5615,35.247386,-91.726143,0.7094,5,24888.0,24888.0
Henderson State University,Arkadelphia,AR,71999-0001,34.128155,-93.059703,0.3805,5,7885.0,9882.0
Hendrix College,Conway,AR,72032-3080,35.101565,-92.443256,0.6923,5,36650.0,36650.0
John Brown University,Siloam Springs,AR,72761,36.189812,-94.560283,0.6677,5,30832.0,30832.0
Ouachita Baptist University,Arkadelphia,AR,71998-0001,34.126093,-93.052471,0.703,5,32480.0,32480.0
University of the Ozarks,Clarksville,AR,72830,35.476278,-93.467221,0.5176,5,25950.0,25950.0
Philander Smith University,Little Rock,AR,72202-3799,34.737131,-92.283015,0.3231,5,13014.0,13014.0
Williams Baptist University,Walnut Ridge,AR,72476,36.125676,-90.940277,0.3592,5,20330.0,20330.0
Southern Arkansas University Main Campus,Magnolia,AR,71753,33.291618,-93.235922,0.465,5,9820.0,15400.0
University of Arkansas-Fort Smith,Fort Smith,AR,72913-3649,35.384184,-94.373729,0.3696,5,6906.0,13770.0
Academy of Art University,San Francisco,CA,94105,37.787943,-122.400578,0.4046,8,28024.0,28024.0
Antelope Valley Community College District,Lancaster,CA,93536-5426,34.676207,-118.186166,0.3061,8,1124.0,8228.0
Art Center College of Design,Pasadena,CA,91103,34.169031,-118.185102,0.8261,8,51640.0,51640.0
Azusa Pacific University,Azusa,CA,91702-7000,34.130047,-117.888375,0.6442,8,43600.0,43600.0
