INSTNM,CITY,STABBR,TUITIONFEE_IN,TUITIONFEE_OUT,GraduationRate
Alabama A & M University,Normal,AL,10024.0,18634.0,0.2874
University of Alabama at Birmingham,Birmingham,AL,8832.0,21864.0,0.626
University of Alabama in Huntsville,Huntsville,AL,11770.0,24662.0,0.6191
Alabama State University,Montgomery,AL,11248.0,19576.0,0.3018
The University of Alabama,Tuscaloosa,AL,11900.0,33200.0,0.7369
Auburn University at Montgomery,Montgomery,AL,9436.0,20092.0,0.3568
Auburn University,Auburn,AL,12536.0,33944.0,0.7921
Birmingham-Southern College,Birmingham,AL,22750.0,22750.0,0.6418
South University-Montgomery,Montgomery,AL,18238.0,18238.0,0.1538
Faulkner University,Montgomery,AL,23920.0,23920.0,0.3766
Herzing University-Birmingham,Birmingham,AL,13420.0,13420.0,0.25
Huntingdon College,Montgomery,AL,28650.0,28650.0,0.4694
Heritage Christian University,Florence,AL,11982.0,11982.0,0.5
Jacksonville State University,Jacksonville,AL,12426.0,22716.0,0.5112
University of West Alabama,Livingston,AL,10990.0,20090.0,0.3804
Miles College,Fairfield,AL,12714.0,12714.0,0.2566
University of Mobile,Mobile,AL,26120.0,26120.0,0.5551
University of Montevallo,Montevallo,AL,13710.0,26730.0,0.4938
University of North Alabama,Florence,AL,11990.0,22190.0,0.5403
Oakwood University,Huntsville,AL,21838.0,21838.0,0.4891
Samford University,Birmingham,AL,38144.0,38144.0,0.7988
Selma University,Selma,AL,4800.0,4800.0,0.24
University of South Alabama,Mobile,AL,9676.0,18652.0,0.5257
Spring Hill College,Mobile,AL,23270.0,23270.0,0.5612
Stillman College,Tuscaloosa,AL,11392.0,11392.0,0.4103
Talladega College,Talladega,AL,15650.0,15650.0,0.6497
Troy University,Troy,AL,9792.0,19584.0,0.4684
Tuskegee University,Tuskegee,AL,23440.0,23440.0,0.5709
University of Alaska Anchorage,Anchorage,AK,7566.0,21693.0,0.2894
Alaska Bible College,Palmer,AK,10930.0,10930.0,1.0
University of Alaska Fairbanks,Fairbanks,AK,8640.0,22752.0,0.3197
University of Alaska Southeast,Juneau,AK,6960.0,21096.0,0.3097
Alaska Pacific University,Anchorage,AK,20760.0,20760.0,0.4688
Charter College,Anchorage,AK,18678.0,18678.0,0.5753
Arizona State University Campus Immersion,Tempe,AZ,12051.0,32193.0,0.6785
University of Arizona,Tucson,AZ,13626.0,41095.0,0.6589
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,42204.0,42204.0,0.6976
Glendale Community College,Glendale,AZ,2358.0,8958.0,0.144
Grand Canyon University,Phoenix,AZ,17450.0,17450.0,0.4304
GateWay Community College,Phoenix,AZ,2358.0,8958.0,0.1955
Dine College,Tsaile,AZ,1410.0,1410.0,0.0549
Northern Arizona University,Flagstaff,AZ,12652.0,28900.0,0.5686
Prescott College,Prescott,AZ,35685.0,35685.0,0.3594
Rio Salado College,Tempe,AZ,2358.0,8958.0,0.039
Arizona Christian University,Glendale,AZ,34697.0,34697.0,0.4145
Yavapai College,Prescott,AZ,2838.0,9344.0,0.3213
University of Arkansas at Little Rock,Little Rock,AR,8455.0,19210.0,0.4142
Arkansas Baptist College,Little Rock,AR,8760.0,8760.0,0.0798
Lyon College,Batesville,AR,31000.0,31000.0,0.5591
University of Arkansas,Fayetteville,AR,9748.0,28772.0,0.6997
